#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
3,KK Mega Bemax,22,40.0,84.0,30.1,68.4,0.441,7.8,24.6,0.317,16.0,23.1,0.69,11.6,24.7,36.3,17.6,7.1,4.3,13.6,24.6,2018,Adriatic-League-Liga-ABA,0.0
4,KK Zadar,22,40.2,83.9,29.5,66.0,0.447,8.3,25.0,0.333,16.5,21.3,0.774,9.6,23.4,33.0,16.6,6.9,2.0,11.1,23.4,2018,Adriatic-League-Liga-ABA,0.0
5,Buducnost,29,40.0,82.3,27.6,58.7,0.47,8.9,24.0,0.371,18.3,23.9,0.764,7.6,22.9,30.4,14.7,6.6,2.8,10.2,20.8,2018,Adriatic-League-Liga-ABA,1.0
6,KK Mornar,25,40.0,81.8,28.4,60.7,0.469,8.8,24.7,0.355,16.2,23.1,0.7,9.5,21.5,31.0,15.1,5.0,3.2,11.8,22.1,2018,Adriatic-League-Liga-ABA,0.0
7,BC Igokea,22,40.2,81.0,28.5,62.5,0.456,6.5,22.3,0.29,17.5,22.6,0.777,7.9,22.1,30.0,16.9,7.3,1.2,11.8,20.7,2018,Adriatic-League-Liga-ABA,0.0
8,Cedevita,25,40.4,80.8,28.6,61.0,0.47,9.4,25.8,0.365,14.1,18.6,0.758,7.5,21.4,28.9,16.3,7.6,2.3,11.2,23.1,2018,Adriatic-League-Liga-ABA,0.0
9,FMP Beograd,22,40.2,79.8,27.1,59.9,0.452,7.6,23.3,0.328,18.0,25.5,0.705,9.2,24.2,33.5,17.3,6.1,3.2,14.2,25.4,2018,Adriatic-League-Liga-ABA,0.0
10,KK Cibona,22,40.1,79.7,28.0,61.9,0.453,8.1,23.7,0.341,15.5,20.0,0.777,8.3,20.3,28.5,17.5,5.8,2.6,12.3,23.2,2018,Adriatic-League-Liga-ABA,0.0
11,Union Olimpija,22,40.4,79.0,28.3,62.3,0.454,8.2,23.0,0.358,14.2,18.6,0.763,8.4,21.5,29.8,18.0,8.3,2.0,13.0,21.0,2018,Adriatic-League-Liga-ABA,0.0
12,MZT Skopje Aerodrom,22,39.6,75.4,26.5,59.0,0.449,7.4,23.1,0.321,15.0,20.0,0.752,7.1,22.1,29.2,16.0,4.8,1.4,14.4,21.2,2018,Adriatic-League-Liga-ABA,0.0
1,Cedevita,25,40.2,86.4,29.7,62.0,0.479,9.4,23.2,0.408,17.5,24.8,0.706,9.4,22.2,31.6,17.2,7.6,1.8,12.6,22.8,2019,Adriatic-League-Liga-ABA,0.0
2,KK Crvena Zvezda,30,40.1,86.0,30.0,59.9,0.501,9.7,25.4,0.38,16.3,22.5,0.724,9.2,25.1,34.3,19.0,7.1,3.7,13.2,22.5,2019,Adriatic-League-Liga-ABA,1.0
3,KK Zadar,22,40.4,82.0,29.0,63.3,0.457,7.9,23.3,0.34,16.1,20.9,0.772,8.7,22.5,31.2,17.1,6.9,2.2,13.6,24.1,2019,Adriatic-League-Liga-ABA,0.0
4,KK Mega Bemax,22,40.4,81.9,27.8,66.8,0.417,8.0,25.6,0.312,18.3,29.0,0.63,12.5,24.0,36.4,19.2,7.6,3.2,14.6,25.8,2019,Adriatic-League-Liga-ABA,0.0
5,BC Igokea,22,40.0,81.7,27.7,64.8,0.428,8.7,26.6,0.326,17.6,22.4,0.785,10.6,20.5,31.1,17.9,7.4,2.0,12.2,22.6,2019,Adriatic-League-Liga-ABA,0.0
6,KK Mornar,22,40.0,80.9,27.9,64.9,0.43,8.9,27.7,0.322,16.3,22.9,0.71,10.7,20.8,31.5,15.0,6.5,3.6,11.7,22.8,2019,Adriatic-League-Liga-ABA,0.0
7,KK Partizan,25,40.4,80.5,27.5,61.5,0.448,8.6,25.9,0.333,16.8,23.5,0.717,9.3,22.3,31.6,18.8,7.8,3.0,13.6,24.4,2019,Adriatic-League-Liga-ABA,0.0
8,Buducnost,30,40.0,79.7,27.1,58.8,0.461,7.9,23.1,0.341,17.6,24.3,0.723,8.2,22.7,30.9,16.5,6.5,2.8,11.8,22.5,2019,Adriatic-League-Liga-ABA,0.0
9,KK Cibona,22,40.4,79.3,26.8,61.9,0.434,9.2,27.4,0.337,16.4,22.6,0.726,8.9,21.3,30.2,16.9,7.2,1.6,11.6,25.3,2019,Adriatic-League-Liga-ABA,0.0
10,FMP Beograd,22,40.2,78.9,27.2,62.1,0.437,8.1,26.6,0.305,16.4,23.0,0.712,9.8,22.0,31.7,17.7,6.9,3.1,14.2,25.1,2019,Adriatic-League-Liga-ABA,0.0
11,Union Olimpija,22,40.7,76.6,26.0,58.9,0.441,7.9,23.2,0.341,16.8,22.7,0.738,8.7,23.2,31.9,15.7,5.5,3.0,14.7,24.4,2019,Adriatic-League-Liga-ABA,0.0
12,Krka Novo Mesto,22,40.0,72.1,25.1,60.1,0.417,8.1,26.0,0.312,13.9,18.4,0.755,8.7,21.7,30.4,16.6,6.3,2.5,14.3,27.6,2019,Adriatic-League-Liga-ABA,0.0
1,KK Crvena Zvezda,20,40.2,87.9,31.3,62.4,0.502,9.1,23.1,0.394,16.2,20.5,0.792,9.0,22.0,31.0,19.8,8.3,3.2,12.8,22.9,2020,Adriatic-League-Liga-ABA,0.0
2,Buducnost,20,40.5,84.7,29.6,59.9,0.493,8.2,21.5,0.381,17.4,23.2,0.748,6.7,24.2,30.9,16.7,7.6,3.7,11.7,22.1,2020,Adriatic-League-Liga-ABA,0.0
3,KK Mornar,21,40.7,84.5,28.3,62.5,0.453,10.1,28.7,0.354,17.7,25.2,0.701,9.2,22.2,31.4,16.4,7.0,4.2,12.4,20.9,2020,Adriatic-League-Liga-ABA,0.0
4,FMP Beograd,21,40.5,84.1,30.9,63.4,0.488,9.0,24.5,0.37,13.3,19.9,0.667,10.5,22.4,32.9,19.6,5.8,2.2,14.0,24.3,2020,Adriatic-League-Liga-ABA,0.0
5,KK Cedevita Olimpija Ljubljana,21,41.4,84.1,29.1,62.8,0.464,8.9,24.6,0.362,17.0,22.3,0.761,8.9,25.2,34.0,15.8,6.1,2.0,13.6,22.0,2020,Adriatic-League-Liga-ABA,0.0
6,KK Partizan,21,40.0,83.5,28.3,61.5,0.461,9.6,27.3,0.352,17.2,23.1,0.746,9.2,23.0,32.1,18.7,7.0,3.5,11.6,22.2,2020,Adriatic-League-Liga-ABA,0.0
7,KK Mega Bemax,21,40.5,80.6,27.4,65.3,0.419,9.5,27.3,0.347,16.4,22.8,0.72,11.0,23.7,34.7,17.7,6.3,3.0,15.3,23.5,2020,Adriatic-League-Liga-ABA,0.0
8,BC Igokea,21,40.5,79.5,26.6,62.0,0.429,7.7,22.3,0.343,18.7,25.0,0.75,9.5,20.4,29.9,16.9,7.2,2.0,12.6,20.5,2020,Adriatic-League-Liga-ABA,0.0
9,KK Zadar,21,40.0,78.8,28.9,66.0,0.437,8.1,26.0,0.313,13.0,20.0,0.649,11.5,23.7,35.1,15.9,6.2,1.9,14.0,23.0,2020,Adriatic-League-Liga-ABA,0.0
10,Sixt Primorska,21,40.0,78.1,27.6,60.1,0.46,8.6,24.0,0.356,14.3,19.6,0.728,10.0,22.6,32.5,17.3,6.2,2.2,15.1,23.0,2020,Adriatic-League-Liga-ABA,0.0
11,KK Cibona,21,40.0,76.5,27.6,60.7,0.455,8.6,25.3,0.339,12.7,18.8,0.675,7.8,20.4,28.2,17.5,7.0,2.0,12.0,23.4,2020,Adriatic-League-Liga-ABA,1.0
12,Krka Novo Mesto,21,40.0,71.2,24.8,58.6,0.423,9.5,28.3,0.335,12.1,16.1,0.754,8.9,19.5,28.4,16.3,6.5,2.3,13.6,23.6,2020,Adriatic-League-Liga-ABA,0.0
1,KK Cedevita Olimpija Ljubljana,24,40.2,86.5,28.8,60.3,0.478,12.0,29.9,0.401,16.8,20.8,0.81,7.7,22.9,30.6,17.3,6.5,1.2,12.4,24.0,2021,Adriatic-League-Liga-ABA,0.0
2,KK Mornar,26,40.2,84.4,29.3,60.8,0.482,9.8,26.2,0.372,16.0,21.4,0.75,6.9,23.4,30.3,17.3,5.7,4.0,11.3,21.2,2021,Adriatic-League-Liga-ABA,0.0
3,FMP Beograd,24,40.8,83.7,29.7,64.8,0.458,8.8,26.0,0.336,15.6,21.8,0.718,10.3,22.9,33.1,17.2,6.6,2.1,12.6,24.5,2021,Adriatic-League-Liga-ABA,0.0
4,Buducnost,31,40.3,83.2,28.3,59.4,0.476,8.2,22.5,0.364,18.5,23.4,0.789,8.4,23.2,31.6,14.7,6.6,2.7,11.9,20.2,2021,Adriatic-League-Liga-ABA,0.0
5,KK Crvena Zvezda,32,40.0,82.2,28.3,60.9,0.465,10.5,26.5,0.396,15.1,19.5,0.772,9.5,22.4,31.9,17.7,7.1,2.8,11.6,23.2,2021,Adriatic-League-Liga-ABA,1.0
6,KK Partizan,24,41.3,81.8,29.0,64.6,0.45,9.0,26.3,0.342,14.7,20.6,0.715,11.0,21.3,32.4,16.2,7.4,2.3,12.0,22.8,2021,Adriatic-League-Liga-ABA,0.0
7,KK Mega Bemax,24,40.2,81.5,28.9,61.3,0.471,8.3,24.0,0.347,15.3,20.6,0.743,8.4,25.5,33.9,20.1,4.8,2.9,14.3,21.3,2021,Adriatic-League-Liga-ABA,0.0
8,BC Igokea,27,40.4,78.8,27.8,59.9,0.465,8.2,22.2,0.368,15.0,21.5,0.697,8.4,22.0,30.5,18.2,6.7,2.0,12.1,21.9,2021,Adriatic-League-Liga-ABA,0.0
9,KK Borac Cacak,24,40.0,78.3,26.0,60.5,0.429,9.3,29.3,0.319,17.0,22.7,0.752,8.4,20.1,28.5,15.4,7.7,2.1,12.1,23.4,2021,Adriatic-League-Liga-ABA,0.0
10,KK Cibona,24,40.2,77.4,27.3,59.3,0.46,8.6,23.6,0.366,14.2,18.6,0.762,8.4,20.1,28.5,17.5,5.8,1.6,13.9,23.0,2021,Adriatic-League-Liga-ABA,0.0
11,KK Split,24,40.4,74.0,25.4,59.1,0.429,8.6,25.1,0.342,14.7,19.3,0.76,7.7,22.0,29.7,16.6,5.1,2.0,13.9,21.6,2021,Adriatic-League-Liga-ABA,0.0
12,KK Zadar,24,40.4,73.5,25.5,55.3,0.461,6.5,19.1,0.341,16.1,22.8,0.704,7.5,21.9,29.4,14.4,5.9,2.1,15.4,20.9,2021,Adriatic-League-Liga-ABA,0.0
13,Krka Novo Mesto,24,40.0,71.2,24.9,57.7,0.432,10.4,28.8,0.362,10.9,14.3,0.766,7.0,18.6,25.7,13.1,6.2,1.4,12.5,24.8,2021,Adriatic-League-Liga-ABA,0.0
14,Sixt Primorska,9,40.5,63.3,22.9,55.3,0.414,5.3,19.8,0.27,12.2,18.1,0.675,6.4,22.0,28.4,12.7,5.9,1.7,18.3,23.7,2021,Adriatic-League-Liga-ABA,0.0
1,KK Cedevita Olimpija Ljubljana,31,40.3,84.5,29.5,64.3,0.458,9.7,29.4,0.331,15.9,21.7,0.73,10.4,25.3,35.7,17.9,6.7,2.2,12.3,21.3,2022,Adriatic-League-Liga-ABA,0.0
2,KK Partizan,34,40.0,83.8,30.1,60.1,0.5,8.8,23.9,0.368,14.9,19.9,0.747,9.4,22.4,31.8,17.7,7.2,3.4,13.1,20.6,2022,Adriatic-League-Liga-ABA,0.0
3,KK Crvena Zvezda,34,40.1,82.6,29.1,62.4,0.466,9.7,27.3,0.356,14.7,19.3,0.763,10.1,21.5,31.6,19.6,8.6,1.5,12.2,21.4,2022,Adriatic-League-Liga-ABA,1.0
4,Studentski Centar Podgorica,26,40.4,81.0,29.3,62.8,0.466,8.7,24.3,0.357,13.8,18.6,0.745,8.8,22.1,30.9,17.7,7.3,2.2,14.2,23.3,2022,Adriatic-League-Liga-ABA,0.0
5,FMP Beograd,28,40.3,80.9,28.6,63.6,0.451,6.8,21.3,0.318,16.8,21.0,0.801,10.4,22.0,32.4,16.6,8.3,3.2,14.5,24.5,2022,Adriatic-League-Liga-ABA,0.0
6,Buducnost,31,40.0,79.7,27.4,59.3,0.462,7.7,21.9,0.351,17.3,22.6,0.765,8.5,22.6,31.1,16.3,7.5,2.3,11.5,19.8,2022,Adriatic-League-Liga-ABA,0.0
7,BC Igokea,28,40.2,78.6,29.1,61.4,0.474,8.1,21.8,0.37,12.4,18.6,0.667,10.6,22.5,33.0,20.3,7.1,2.2,12.3,20.4,2022,Adriatic-League-Liga-ABA,0.0
8,KK Mega Bemax,26,40.4,78.6,28.8,63.8,0.451,8.0,22.5,0.357,12.9,18.3,0.704,9.6,24.2,33.8,19.2,6.5,4.6,14.3,22.6,2022,Adriatic-League-Liga-ABA,0.0
9,KK Cibona,26,40.2,77.5,28.6,61.7,0.464,8.5,24.9,0.34,11.8,17.1,0.688,9.8,21.2,31.0,18.2,6.1,3.3,14.3,22.8,2022,Adriatic-League-Liga-ABA,0.0
10,KK Mornar,26,40.2,76.4,27.0,61.4,0.44,9.2,27.1,0.34,13.2,18.1,0.728,7.9,21.0,28.9,16.1,6.5,3.9,11.8,20.6,2022,Adriatic-League-Liga-ABA,0.0
11,KK Borac Cacak,26,40.2,75.5,26.0,63.1,0.413,10.0,29.8,0.336,13.4,18.5,0.722,9.4,23.3,32.7,16.3,7.0,1.5,13.3,21.3,2022,Adriatic-League-Liga-ABA,0.0
12,KK Zadar,26,40.2,73.0,25.6,59.3,0.431,8.0,23.9,0.334,13.9,19.4,0.716,9.0,21.8,30.9,16.2,6.7,2.6,13.0,20.7,2022,Adriatic-League-Liga-ABA,0.0
